Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
431;21100902636;"Behavioral Science and Policy";journal;"23794607, 23794615";0,990;Q2;8;13;53;527;111;41;2,02;40,54;United States;Northern America;"Brookings Institution Press";"2018-2022";"Development (Q1); Public Health, Environmental and Occupational Health (Q1); Behavioral Neuroscience (Q2); Human-Computer Interaction (Q2)";"Computer Science; Medicine; Neuroscience; Social Sciences"
432;21100924250;"Digital Health";journal;"20552076";0,989;Q1;21;367;226;18037;1033;218;3,74;49,15;United States;Northern America;"SAGE Publications Inc.";"2015, 2018-2022";"Computer Science Applications (Q1); Health Policy (Q1); Health Informatics (Q2); Health Information Management (Q2)";"Computer Science; Health Professions; Medicine"
433;15591;"JASSS";journal;"14607425";0,987;Q1;64;29;122;1809;470;121;4,33;62,38;United Kingdom;Western Europe;"University of Surrey";"2000-2022";"Computer Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Social Sciences"
434;21100853527;"Brain Informatics";journal;"21984018, 21984026";0,986;Q1;26;30;55;2346;349;55;6,62;78,20;Germany;Western Europe;"Springer Berlin";"2014-2022";"Computer Science Applications (Q1); Cognitive Neuroscience (Q2); Neurology (Q2)";"Computer Science; Neuroscience"
435;21101068029;"RIED-Revista Iberoamericana de Educacion a Distancia";journal;"13903306, 11382783";0,986;Q1;9;34;34;1438;242;34;7,12;42,29;Spain;Western Europe;"Ibero-American Association for Distance Higher Education (AIESAD)";"2021-2022";"Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
436;18202;"Eurasip Journal on Wireless Communications and Networking";journal;"16871499, 16871472";0,985;Q1;70;124;724;4897;2891;723;3,31;39,49;United Kingdom;Western Europe;"SpringerOpen";"2004-2022";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Signal Processing (Q2)";"Computer Science"
437;21101020024;"Big Earth Data";journal;"20964471, 25745417";0,981;Q1;21;51;74;3066;389;67;4,12;60,12;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2017-2022";"Computer Science Applications (Q1); Computers in Earth Sciences (Q1)";"Computer Science; Earth and Planetary Sciences"
438;24286;"International Journal of Approximate Reasoning";journal;"0888613X, 18734731";0,978;Q1;105;156;407;7220;1820;392;4,38;46,28;United States;Northern America;"Elsevier Inc.";"1974, 1987-2022";"Applied Mathematics (Q1); Software (Q1); Theoretical Computer Science (Q1); Artificial Intelligence (Q2)";"Computer Science; Mathematics"
439;21100805777;"Information and Learning Science";journal;"23985348";0,976;Q1;35;35;151;2533;630;143;4,65;72,37;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2017-2022";"Computer Science Applications (Q1); Education (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
440;12305;"Information Systems";journal;"03064379";0,976;Q1;92;140;252;6371;1072;238;5,00;45,51;United Kingdom;Western Europe;"Elsevier Ltd.";"1975-2023";"Hardware and Architecture (Q1); Information Systems (Q1); Software (Q2)";"Computer Science"
441;21100383744;"Journal of Cloud Computing";journal;"2192113X";0,976;Q1;38;99;146;4667;867;145;5,43;47,14;United States;Northern America;"Springer Science + Business Media";"2012-2022";"Computer Networks and Communications (Q1); Software (Q2)";"Computer Science"
442;25397;"Dianli Xitong Zidonghua/Automation of Electric Power Systems";journal;"10001026";0,975;Q1;101;506;1670;16191;6976;1670;4,36;32,00;China;Asiatic Region;"Automation of Electric Power Systems Press";"1996-2022";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q2)";"Computer Science; Energy; Engineering"
443;19700175167;"Frontiers in Neuroinformatics";journal;"16625196";0,975;Q1;72;142;215;7847;914;209;3,53;55,26;Switzerland;Western Europe;"Frontiers Media S.A.";"2007-2022";"Biomedical Engineering (Q1); Computer Science Applications (Q1); Neuroscience (miscellaneous) (Q2)";"Computer Science; Engineering; Neuroscience"
444;21100258404;"Applied Clinical Informatics";journal;"18690327";0,974;Q1;37;102;355;3740;951;344;2,47;36,67;Germany;Western Europe;"Georg Thieme Verlag";"2009-2022";"Computer Science Applications (Q1); Health Informatics (Q2); Health Information Management (Q2)";"Computer Science; Health Professions; Medicine"
445;27724;"IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems";journal;"02780070";0,971;Q1;126;602;827;17670;2900;825;3,37;29,35;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1982-2022";"Computer Graphics and Computer-Aided Design (Q1); Electrical and Electronic Engineering (Q1); Software (Q2)";"Computer Science; Engineering"
446;20979;"Journal of Mechanical Design, Transactions Of the ASME";journal;"10500472";0,971;Q1;134;178;500;9127;2219;484;3,96;51,28;United States;Northern America;"The American Society of Mechanical Engineers(ASME)";"1978-2022";"Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)";"Computer Science; Engineering"
447;14414;"Journal of Process Control";journal;"09591524";0,969;Q1;124;155;447;6492;2156;445;4,83;41,88;United Kingdom;Western Europe;"Elsevier Ltd.";"1991-2022";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Industrial and Manufacturing Engineering (Q1); Modeling and Simulation (Q1)";"Computer Science; Engineering; Mathematics"
448;18160;"Computers and Fluids";journal;"00457930";0,968;Q1;123;235;797;11335;2672;795;3,07;48,23;United Kingdom;Western Europe;"Elsevier Ltd.";"1973-2022";"Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1)";"Computer Science; Engineering"
449;12189;"Simulation Modelling Practice and Theory";journal;"1569190X";0,968;Q2;78;141;355;6287;1811;349;5,35;44,59;Netherlands;Western Europe;"Elsevier";"2002-2022";"Modeling and Simulation (Q1); Hardware and Architecture (Q2); Software (Q2)";"Computer Science; Mathematics"
450;21100981101;"Smart Learning Environments";journal;"21967091";0,967;Q1;24;37;70;2285;442;69;6,31;61,76;United Kingdom;Western Europe;"SpringerOpen";"2014-2016, 2018, 2020-2022";"Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
451;21100804573;"Information Processing in Agriculture";journal;"22143173";0,963;Q1;45;84;145;3963;1327;145;10,60;47,18;China;Asiatic Region;"Elsevier BV";"2014-2022";"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Aquatic Science (Q1); Computer Science Applications (Q1); Forestry (Q1)";"Agricultural and Biological Sciences; Computer Science"
452;21100901140;"Journal of Innovation and Entrepreneurship";journal;"21925372";0,958;Q1;26;68;89;3990;574;88;6,42;58,68;Germany;Western Europe;"SpringerOpen";"2014-2015, 2017-2022";"Information Systems (Q1); Management Information Systems (Q1); Management of Technology and Innovation (Q1); Sociology and Political Science (Q1); Economics and Econometrics (Q2)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Social Sciences"
453;14879;"Web Semantics";journal;"15708268";0,955;Q1;88;22;83;1212;324;79;3,20;55,09;Netherlands;Western Europe;"Elsevier";"2003-2023";"Computer Networks and Communications (Q1); Human-Computer Interaction (Q2); Software (Q2)";"Computer Science"
454;145523;"Cognition, Technology and Work";journal;"14355558, 14355566";0,954;Q2;45;42;163;2688;683;160;3,04;64,00;United Kingdom;Western Europe;"Springer London";"2002-2022";"Philosophy (Q1); Computer Science Applications (Q2); Human-Computer Interaction (Q2)";"Arts and Humanities; Computer Science"
455;25023;"Computer Graphics Forum";journal;"01677055, 14678659";0,950;Q1;130;197;809;12393;2540;803;2,96;62,91;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1982-2022";"Computer Graphics and Computer-Aided Design (Q1); Computer Networks and Communications (Q1)";"Computer Science"
456;18159;"Computers and Electrical Engineering";journal;"00457906";0,950;Q1;84;690;1037;19278;5525;978;5,32;27,94;United Kingdom;Western Europe;"Elsevier Ltd.";"1973-1984, 1986-2022";"Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Control and Systems Engineering (Q2)";"Computer Science; Engineering"
457;21100935201;"ACM Transactions on Cyber-Physical Systems";journal;"23789638, 2378962X";0,948;Q1;21;34;118;1762;384;110;2,81;51,82;United States;Northern America;"Association for Computing Machinery (ACM)";"2017-2022";"Computer Networks and Communications (Q1); Control and Optimization (Q1); Artificial Intelligence (Q2); Hardware and Architecture (Q2); Human-Computer Interaction (Q2)";"Computer Science; Mathematics"
458;21101078838;"Computers in Human Behavior Reports";journal;"24519588";0,946;Q2;15;77;132;5347;682;130;5,17;69,44;United Kingdom;Western Europe;"Elsevier BV";"2020-2022";"Applied Psychology (Q2); Artificial Intelligence (Q2); Cognitive Neuroscience (Q2); Computer Science Applications (Q2); Human-Computer Interaction (Q2); Neuroscience (miscellaneous) (Q2)";"Computer Science; Neuroscience; Psychology"
459;21101078232;"Journal of Computational Social Science";journal;"24322717, 24322725";0,944;Q2;16;80;78;4414;311;77;4,78;55,18;Singapore;Asiatic Region;"Springer Nature";"2018-2022";"Artificial Intelligence (Q2); Transportation (Q2)";"Computer Science; Social Sciences"
460;12125;"Behaviour and Information Technology";journal;"13623001, 0144929X";0,941;Q2;88;347;313;29045;1804;306;5,36;83,70;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1982-2022";"Arts and Humanities (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Developmental and Educational Psychology (Q2); Human-Computer Interaction (Q2)";"Arts and Humanities; Computer Science; Psychology; Social Sciences"
461;19700201422;"Computer Science Education";journal;"17445175, 08993408";0,941;Q1;38;44;68;2751;277;58;3,37;62,52;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1988-1995, 1999, 2002, 2004-2022";"Computer Science (miscellaneous) (Q1); Education (Q1)";"Computer Science; Social Sciences"
462;23602;"BMC Medical Informatics and Decision Making";journal;"14726947";0,940;Q2;90;343;998;14577;4381;994;3,95;42,50;United Kingdom;Western Europe;"BioMed Central Ltd.";"2001-2022";"Health Policy (Q1); Computer Science Applications (Q2); Health Informatics (Q2)";"Computer Science; Medicine"
463;12300;"IEEE Transactions on Very Large Scale Integration (VLSI) Systems";journal;"15579999, 10638210";0,940;Q2;113;179;731;5993;2717;724;3,37;33,48;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1993-2022";"Electrical and Electronic Engineering (Q1); Hardware and Architecture (Q2); Software (Q2)";"Computer Science; Engineering"
464;23614;"Statistics and Computing";journal;"09603174, 15731375";0,940;Q1;82;108;258;4670;633;257;2,27;43,24;Netherlands;Western Europe;"Springer Netherlands";"1991-2022";"Computational Theory and Mathematics (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1); Theoretical Computer Science (Q2)";"Computer Science; Decision Sciences; Mathematics"
465;21100853805;"Quantitative Biology";journal;"20954697, 20954689";0,939;Q2;19;35;99;1939;282;93;2,38;55,40;China;Asiatic Region;"Higher Education Press";"2013-2022";"Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Modeling and Simulation (Q1); Computer Science Applications (Q2)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics"
466;21101060132;"IEEE Journal of Radio Frequency Identification";journal;"24697281";0,936;Q1;18;137;118;3375;457;113;3,80;24,64;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2017-2022";"Computer Networks and Communications (Q1); Instrumentation (Q1)";"Computer Science; Physics and Astronomy"
467;21100862637;"Applied Computing and Informatics";journal;"22108327, 26341964";0,932;Q1;35;48;64;1984;383;64;3,13;41,33;Saudi Arabia;Middle East;"King Saud University";"2011, 2014-2022";"Information Systems (Q1); Computer Science Applications (Q2); Software (Q2)";"Computer Science"
468;17300154971;"International Journal of Critical Infrastructure Protection";journal;"18745482";0,930;Q2;44;41;103;2732;578;99;4,71;66,63;Netherlands;Western Europe;"Elsevier";"2008-2022";"Information Systems and Management (Q1); Modeling and Simulation (Q1); Safety, Risk, Reliability and Quality (Q1); Computer Science Applications (Q2)";"Computer Science; Decision Sciences; Engineering; Mathematics"
469;24157;"Autonomous Agents and Multi-Agent Systems";journal;"15737454, 13872532";0,927;Q2;78;53;127;3003;467;124;2,76;56,66;Netherlands;Western Europe;"Springer Netherlands";"1998-2022";"Artificial Intelligence (Q2)";"Computer Science"
470;21100374601;"IEEE Access";journal;"21693536";0,926;Q1;204;9644;46081;481983;235617;45978;4,82;49,98;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2013-2022";"Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)";"Computer Science; Engineering; Materials Science"
471;15136;"Information Society";journal;"01972243, 10876537";0,926;Q1;83;25;65;1717;249;63;3,74;68,68;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981-1990, 1992-2022";"Cultural Studies (Q1); Information Systems (Q1); Management Information Systems (Q1); Political Science and International Relations (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
472;21100389724;"Journal of King Saud University - Computer and Information Sciences";journal;"22131248, 13191578";0,924;Q1;48;813;295;41939;1836;287;6,05;51,59;Saudi Arabia;Middle East;"King Saud University";"2014-2022";"Computer Science (miscellaneous) (Q1)";"Computer Science"
473;21100984159;"IET Smart Grid";journal;"25152947";0,921;Q1;20;45;212;2092;693;204;2,88;46,49;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2018-2022";"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1); Information Systems (Q1)";"Computer Science; Engineering"
474;18089;"Advances in Engineering Software";journal;"18735339, 09659978";0,919;Q2;94;157;254;6466;1354;253;5,24;41,18;United Kingdom;Western Europe;"Elsevier Ltd.";"1980-1986, 1992-2022";"Engineering (miscellaneous) (Q1); Software (Q2)";"Computer Science; Engineering"
475;19700182731;"Egyptian Informatics Journal";journal;"11108665";0,917;Q1;44;59;90;2306;602;90;6,70;39,08;Egypt;Africa/Middle East;"Faculty of Computers and Information, Cairo University";"2010-2022";"Information Systems (Q1); Management Science and Operations Research (Q1); Computer Science Applications (Q2)";"Computer Science; Decision Sciences"
476;21100337101;"IEEE Consumer Electronics Magazine";trade journal;"21622256, 21622248";0,917;Q2;45;114;319;1192;1094;317;3,66;10,46;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2012, 2014-2022";"Electrical and Electronic Engineering (Q1); Computer Science Applications (Q2); Hardware and Architecture (Q2); Human-Computer Interaction (Q2)";"Computer Science; Engineering"
477;3100147401;"Ecological Informatics";journal;"15749541";0,915;Q1;66;374;463;23953;2692;461;5,78;64,05;Netherlands;Western Europe;"Elsevier";"2006-2022";"Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Ecological Modeling (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Modeling and Simulation (Q1); Computer Science Applications (Q2)";"Agricultural and Biological Sciences; Computer Science; Environmental Science; Mathematics"
478;23710;"Journal of Medical Systems";journal;"01485598, 1573689X";0,914;Q1;100;95;639;3086;3673;604;5,82;32,48;United States;Northern America;"Springer New York";"1977-2022";"Information Systems (Q1); Medicine (miscellaneous) (Q1); Health Informatics (Q2); Health Information Management (Q2)";"Computer Science; Health Professions; Medicine"
479;17300154988;"BioData Mining";journal;"17560381";0,913;Q1;36;30;92;1557;399;88;4,51;51,90;United Kingdom;Western Europe;"BioMed Central Ltd.";"2009-2022";"Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Biochemistry (Q2); Computer Science Applications (Q2); Genetics (Q2); Molecular Biology (Q2)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics"
